### METADATA ###
## USER ##
# id=ctso
# printer=Annex K3
# measure_type=microswitch_probe
# measure_gcode="G28 Z"
# notes=Suboptimal frame thermistor location
# timestamp=2021-07-05_17-46-11
## SCRIPT ##
# data_structure=3
# hot_duration=3
# cool_duration=0
## Z_AXIS ##
# step_dist=0.00125
# max_z=170.0
# homing_speed=5.0
## FRAME_EXPANSION_COMPENSATION ##
# pullup_resistor=4700.0
# sensor_pin=PC2
# z_stepper=stepper_z
# coeff=23.4
# gantry_factor=1.13
# frame_z_length=383.0
# max_z_offset=99999999.0
# sensor_type=100k3950_airtemp
# inline_resistor=0.0
# smooth_time=2.0
# min_temp=0.0
# gcode_id=frame
# max_comp_z=0.0
# max_temp=100.0
### METADATA END ###
sample,time,mcu_pos_z,frame_t,chamber_t,bed_t,bed_target,he_t,he_target
0,2021/07/05-17:46:24,-10405,26.257181109911603,26.38705739487733,30.346614785766075,105.0,38.548670751333525,100.0
0,2021/07/05-17:46:37,-10404,26.163315727376737,26.479577116872917,38.01448674040837,105.0,63.45679697744479,100.0
0,2021/07/05-17:46:49,-10402,26.22595124661115,26.433352369342003,43.87080668318422,105.0,87.890220126351,100.0
1,2021/07/05-17:47:24,-10395,26.255707945572258,26.525731890995132,56.05486600436287,105.0,101.48348920269056,100.0
1,2021/07/05-17:47:37,-10393,26.249556820013666,26.448768408963076,58.97774748845908,105.0,100.55917877046939,100.0
1,2021/07/05-17:47:50,-10391,26.30567559092234,26.55646299086112,61.53332709406432,105.0,99.88420282529191,100.0
2,2021/07/05-17:48:24,-10387,26.337967036224192,26.770719260714486,66.25870624357951,105.0,100.11523598895208,100.0
2,2021/07/05-17:48:37,-10385,26.33159862527232,26.8164366683921,67.21002616496074,105.0,99.88456367551585,100.0
2,2021/07/05-17:48:50,-10383,26.30828460922029,26.95318092235317,68.84613621116412,105.0,100.1837135280776,100.0
3,2021/07/05-17:49:24,-10379,26.457038486238282,26.92284598656653,73.31104741807683,105.0,99.99371948087143,100.0
3,2021/07/05-17:49:37,-10377,26.458375650492435,27.05911764433199,73.62688958589874,105.0,100.078075203955,100.0
3,2021/07/05-17:49:50,-10376,26.456238169945195,26.998627153728933,74.81831295518657,105.0,99.81090731591925,100.0
4,2021/07/05-17:50:24,-10371,26.519422935936973,27.17974249326602,78.43487403901918,105.0,100.10125295095422,100.0
4,2021/07/05-17:50:37,-10370,26.571878076616663,27.23987796239237,79.24465255888865,105.0,99.86118119002658,100.0
4,2021/07/05-17:50:50,-10370,26.585216961331053,27.2849025980272,80.78791939391677,105.0,100.18392517314778,100.0
5,2021/07/05-17:51:24,-10365,26.610255263003047,27.672387695539157,84.56562880267748,105.0,99.96642254177395,100.0
5,2021/07/05-17:51:37,-10364,26.642580247419062,27.523929700971735,85.3426200367596,105.0,100.12379317000922,100.0
5,2021/07/05-17:51:50,-10363,26.771935551806035,27.672387695539157,86.74712364540032,105.0,99.80241070573432,100.0
6,2021/07/05-17:52:25,-10359,26.836389509631204,27.790643544707166,90.27954910877597,105.0,100.08603985107847,100.0
6,2021/07/05-17:52:37,-10358,26.868890680015657,27.893748675547272,90.60521127960304,105.0,99.87754577206005,100.0
6,2021/07/05-17:52:50,-10357,26.89581779841024,28.04045035550945,90.30570484785726,105.0,100.15365140241381,100.0
7,2021/07/05-17:53:25,-10353,26.99280194796919,28.302783133670573,93.17005006667485,105.0,99.93084777645038,100.0
7,2021/07/05-17:53:38,-10352,26.968882781490027,28.462018360494767,94.59323457026007,105.0,100.14992844867754,100.0
7,2021/07/05-17:53:50,-10350,27.09161707129806,28.63480988660524,96.19370040071497,105.0,99.78539512767456,100.0
8,2021/07/05-17:54:25,-10346,27.18629943982445,28.820932097488992,100.00907389307162,105.0,100.09256343350545,100.0
8,2021/07/05-17:54:38,-10346,27.243758411275994,28.806654114092566,101.23679289992255,105.0,99.82933701464472,100.0
8,2021/07/05-17:54:51,-10346,27.260410032992464,28.920696799001405,102.40767708268676,105.0,100.19563373356844,100.0
9,2021/07/05-17:55:25,-10340,27.29575928661806,29.35875401920117,104.44953743299541,105.0,99.97449192945129,100.0
9,2021/07/05-17:55:38,-10338,27.394738226926123,29.428843036237936,104.96064797709757,105.0,100.05363417642519,100.0
9,2021/07/05-17:55:51,-10338,27.349108673545288,29.582495301605093,105.08315060623148,105.0,99.89131283859837,100.0
10,2021/07/05-17:56:25,-10333,27.519481872532804,29.87378299546134,105.30130576653137,105.0,99.98505787864161,100.0
10,2021/07/05-17:56:38,-10333,27.61858021551955,30.039044541517626,105.36049788270242,105.0,99.98383065110356,100.0
10,2021/07/05-17:56:51,-10332,27.614774738167945,30.135053471766867,105.1468887930312,105.0,100.1051312104764,100.0
11,2021/07/05-17:57:25,-10329,27.724279232260752,30.556809123450762,105.12717020400372,105.0,99.98239235152896,100.0
11,2021/07/05-17:57:38,-10328,27.834559544201625,30.664755929075227,105.12726892127986,105.0,100.10553928716716,100.0
11,2021/07/05-17:57:51,-10328,27.855647646886258,30.86618637753753,104.93317789568184,105.0,99.83287649322939,100.0
12,2021/07/05-17:58:25,-10325,27.934813909219585,31.132820899198236,105.1546263735817,105.0,99.90499995972334,100.0
12,2021/07/05-17:58:38,-10324,28.020516043598008,31.212384951258514,104.99628162386618,105.0,100.07908903960802,100.0
12,2021/07/05-17:58:51,-10324,28.11785305271027,31.33136639327074,104.80225690808832,105.0,100.008879293371,100.0
13,2021/07/05-17:59:26,-10321,28.220722891414947,31.581128559177102,105.4751110673201,105.0,100.19875808562084,100.0
13,2021/07/05-17:59:38,-10322,28.23316433419151,31.568030830723785,105.12219342052623,105.0,99.83339546586224,100.0
13,2021/07/05-17:59:51,-10321,28.326604855259895,31.763946837612423,104.87723264627604,105.0,100.1491657803226,100.0
14,2021/07/05-18:00:26,-10319,28.423401544790956,31.88093503139845,104.81664646405866,105.0,99.7339427381098,100.0
14,2021/07/05-18:00:39,-10318,28.4574402754827,31.997506656747873,105.35756815588586,105.0,100.24302963204325,100.0
14,2021/07/05-18:00:51,-10317,28.54121634374725,32.3958924341116,105.3017870828708,105.0,99.82866382129771,100.0
15,2021/07/05-18:01:26,-10316,28.681698749757825,32.59964115851727,105.14821453844901,105.0,100.29100098544652,100.0
15,2021/07/05-18:01:39,-10316,28.71713224661898,32.82736784731469,105.05915944241693,105.0,99.76250203477579,100.0
15,2021/07/05-18:01:52,-10316,28.813328059904876,32.80214204242213,104.89862148562659,105.0,100.23437585850154,100.0
16,2021/07/05-18:02:26,-10315,28.901950470576875,33.06606194344971,105.3170575504071,105.0,99.69100603706825,100.0
16,2021/07/05-18:02:39,-10316,28.933197274944845,33.414732017456856,105.01366900527881,105.0,100.2791254431367,100.0
16,2021/07/05-18:02:52,-10314,29.002720563235453,33.52603609985272,105.04953727484273,105.0,99.76262032982179,100.0
17,2021/07/05-18:03:26,-10313,29.135150765631643,33.86997162130655,104.79670907433876,105.0,100.33096339125834,100.0
17,2021/07/05-18:03:39,-10314,29.213957106733755,33.808812231637205,105.14260172751105,105.0,99.72226975114685,100.0
17,2021/07/05-18:03:52,-10313,29.231678650658697,33.91881924605218,105.04721772822089,105.0,100.26103531659282,100.0
18,2021/07/05-18:04:26,-10312,29.35613029971909,33.84552120391669,105.2317409833886,105.0,99.72377804390045,100.0
18,2021/07/05-18:04:39,-10311,29.405661110873922,33.90661398115577,104.94675683471627,105.0,100.2627716939786,100.0
18,2021/07/05-18:04:52,-10311,29.439241195822408,34.052786250871065,105.11563368237546,105.0,99.80919602760294,100.0
19,2021/07/05-18:05:26,-10310,29.49798919086242,34.16200140063387,104.93748823996584,105.0,100.28084009698875,100.0
19,2021/07/05-18:05:39,-10311,29.636269560262043,34.258786150647836,105.11428719247473,105.0,99.76901534555465,100.0
